"1-0",11/16/2019
"Timezone",-5

"Serial No.","CA0000002E9C0521"
"Location:","4-10"
"High temperature limit (°C)",85
"Low temperature limit (°C)",-40
"Date - Time","Temperature (°C)"
"2019-09-09 12:01",15.0
"2019-09-09 14:01",15.0
"2019-09-09 16:01",15.0
"2019-09-09 18:01",15.0
"2019-09-09 20:01",15.0
"2019-09-09 22:01",15.0
"2019-09-10 00:01",15.0
"2019-09-10 02:01",15.0
"2019-09-10 04:01",15.0
"2019-09-10 06:01",15.0
"2019-09-10 08:01",15.0
"2019-09-10 10:01",15.0
"2019-09-10 12:01",15.0
"2019-09-10 14:01",15.0
"2019-09-10 16:01",15.0
"2019-09-10 18:01",15.0
"2019-09-10 20:01",15.0
"2019-09-10 22:01",15.0
"2019-09-11 00:01",15.0
"2019-09-11 02:01",15.0
"2019-09-11 04:01",15.0
"2019-09-11 06:01",15.0
"2019-09-11 08:01",15.0
"2019-09-11 10:01",15.0
"2019-09-11 12:01",15.0
"2019-09-11 14:01",15.0
"2019-09-11 16:01",15.0
"2019-09-11 18:01",15.0
"2019-09-11 20:01",15.0
"2019-09-11 22:01",15.0
"2019-09-12 00:01",15.5
"2019-09-12 02:01",15.5
"2019-09-12 04:01",15.5
"2019-09-12 06:01",15.5
"2019-09-12 08:01",15.5
"2019-09-12 10:01",15.5
"2019-09-12 12:01",15.5
"2019-09-12 14:01",15.5
"2019-09-12 16:01",15.5
"2019-09-12 18:01",15.5
"2019-09-12 20:01",15.5
"2019-09-12 22:01",15.5
"2019-09-13 00:01",16.0
"2019-09-13 02:01",16.0
"2019-09-13 04:01",16.0
"2019-09-13 06:01",16.0
"2019-09-13 08:01",16.0
"2019-09-13 10:01",16.0
"2019-09-13 12:01",16.0
"2019-09-13 14:01",16.0
"2019-09-13 16:01",16.0
"2019-09-13 18:01",16.0
"2019-09-13 20:01",16.0
"2019-09-13 22:01",16.0
"2019-09-14 00:01",16.0
"2019-09-14 02:01",16.0
"2019-09-14 04:01",15.5
"2019-09-14 06:01",15.5
"2019-09-14 08:01",15.5
"2019-09-14 10:01",15.5
"2019-09-14 12:01",15.5
"2019-09-14 14:01",15.5
"2019-09-14 16:01",15.5
"2019-09-14 18:01",15.5
"2019-09-14 20:01",15.5
"2019-09-14 22:01",15.5
"2019-09-15 00:01",15.5
"2019-09-15 02:01",15.5
"2019-09-15 04:01",15.5
"2019-09-15 06:01",15.5
"2019-09-15 08:01",15.5
"2019-09-15 10:01",15.5
"2019-09-15 12:01",15.5
"2019-09-15 14:01",15.5
"2019-09-15 16:01",15.5
"2019-09-15 18:01",15.5
"2019-09-15 20:01",15.5
"2019-09-15 22:01",15.5
"2019-09-16 00:01",15.5
"2019-09-16 02:01",15.5
"2019-09-16 04:01",15.5
"2019-09-16 06:01",15.5
"2019-09-16 08:01",15.5
"2019-09-16 10:01",15.5
"2019-09-16 12:01",15.0
"2019-09-16 14:01",15.0
"2019-09-16 16:01",15.0
"2019-09-16 18:01",15.0
"2019-09-16 20:01",15.0
"2019-09-16 22:01",15.5
"2019-09-17 00:01",15.5
"2019-09-17 02:01",15.5
"2019-09-17 04:01",15.5
"2019-09-17 06:01",15.5
"2019-09-17 08:01",15.5
"2019-09-17 10:01",15.5
"2019-09-17 12:01",15.5
"2019-09-17 14:01",15.5
"2019-09-17 16:01",15.5
"2019-09-17 18:01",15.5
"2019-09-17 20:01",15.5
"2019-09-17 22:01",15.5
"2019-09-18 00:01",15.5
"2019-09-18 02:01",15.5
"2019-09-18 04:01",15.5
"2019-09-18 06:01",15.5
"2019-09-18 08:01",15.5
"2019-09-18 10:01",15.0
"2019-09-18 12:01",15.0
"2019-09-18 14:01",15.0
"2019-09-18 16:01",15.0
"2019-09-18 18:01",15.0
"2019-09-18 20:01",15.0
"2019-09-18 22:01",15.0
"2019-09-19 00:01",15.0
"2019-09-19 02:01",15.0
"2019-09-19 04:01",15.0
"2019-09-19 06:01",15.0
"2019-09-19 08:01",15.0
"2019-09-19 10:01",14.5
"2019-09-19 12:01",14.5
"2019-09-19 14:01",14.5
