"Plot Title: 6B"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20153867, SEN S/N: 20153867, LBL: Temp)","Intensity, Lux (LGR S/N: 20153867, SEN S/N: 20153867, LBL: Light)","Coupler Attached (LGR S/N: 20153867)","Host Connected (LGR S/N: 20153867)","Stopped (LGR S/N: 20153867)","End Of File (LGR S/N: 20153867)"
294,08/29/19 04:00:00 PM,19.567,3444.5,,,,
295,08/29/19 08:00:00 PM,16.237,0.0,,,,
296,08/30/19 12:00:00 AM,12.883,0.0,,,,
297,08/30/19 04:00:00 AM,13.461,0.0,,,,
298,08/30/19 08:00:00 AM,14.134,398.3,,,,
299,08/30/19 12:00:00 PM,20.710,4994.5,,,,
300,08/30/19 04:00:00 PM,22.525,3444.5,,,,
301,08/30/19 08:00:00 PM,19.187,0.0,,,,
302,08/31/19 12:00:00 AM,16.618,0.0,,,,
303,08/31/19 04:00:00 AM,15.760,0.0,,,,
304,08/31/19 08:00:00 AM,16.141,495.1,,,,
305,08/31/19 12:00:00 PM,19.948,3616.7,,,,
306,08/31/19 04:00:00 PM,21.855,3444.5,,,,
307,08/31/19 08:00:00 PM,18.711,0.0,,,,
308,09/01/19 12:00:00 AM,16.332,0.0,,,,
309,09/01/19 04:00:00 AM,14.996,0.0,,,,
310,09/01/19 08:00:00 AM,14.709,452.1,,,,
311,09/01/19 12:00:00 PM,16.427,1550.0,,,,
312,09/01/19 04:00:00 PM,18.236,1108.7,,,,
313,09/01/19 08:00:00 PM,17.760,0.0,,,,
314,09/02/19 12:00:00 AM,17.855,0.0,,,,
315,09/02/19 04:00:00 AM,17.570,0.0,,,,
316,09/02/19 08:00:00 AM,16.427,419.8,,,,
317,09/02/19 12:00:00 PM,19.662,1248.6,,,,
318,09/02/19 04:00:00 PM,20.805,3444.5,,,,
319,09/02/19 08:00:00 PM,18.806,0.0,,,,
320,09/03/19 12:00:00 AM,16.903,0.0,,,,
321,09/03/19 04:00:00 AM,15.569,0.0,,,,
322,09/03/19 08:00:00 AM,14.134,387.5,,,,
323,09/03/19 12:00:00 PM,20.234,4477.8,,,,
324,09/03/19 04:00:00 PM,22.238,2325.0,,,,
325,09/03/19 08:00:00 PM,19.092,0.0,,,,
326,09/04/19 12:00:00 AM,15.664,0.0,,,,
327,09/04/19 04:00:00 AM,14.421,0.0,,,,
328,09/04/19 08:00:00 AM,17.284,344.4,,,,
329,09/04/19 12:00:00 PM,22.046,5166.7,,,,
330,09/04/19 04:00:00 PM,23.581,3272.2,,,,
331,09/04/19 08:00:00 PM,19.662,0.0,,,,
332,09/05/19 12:00:00 AM,16.046,0.0,,,,
333,09/05/19 04:00:00 AM,13.076,0.0,,,,
334,09/05/19 08:00:00 AM,12.013,484.4,,,,
335,09/05/19 12:00:00 PM,17.855,2927.8,,,,
336,09/05/19 04:00:00 PM,19.092,1808.3,,,,
337,09/05/19 08:00:00 PM,17.665,0.0,,,,
338,09/06/19 12:00:00 AM,14.613,0.0,,,,
339,09/06/19 04:00:00 AM,14.421,0.0,,,,
340,09/06/19 08:00:00 AM,14.613,279.9,,,,
341,09/06/19 12:00:00 PM,17.094,5166.7,,,,
342,09/06/19 04:00:00 PM,20.615,3100.0,,,,
343,09/06/19 08:00:00 PM,17.379,0.0,,,,
344,09/07/19 12:00:00 AM,16.332,0.0,,,,
345,09/07/19 04:00:00 AM,14.517,0.0,,,,
346,09/07/19 08:00:00 AM,12.690,301.4,,,,
347,09/07/19 12:00:00 PM,18.045,5166.7,,,,
348,09/07/19 04:00:00 PM,19.472,4133.4,,,,
349,09/07/19 08:00:00 PM,16.237,0.0,,,,
350,09/08/19 12:00:00 AM,14.134,0.0,,,,
351,09/08/19 04:00:00 AM,11.139,0.0,,,,
352,09/08/19 08:00:00 AM,10.553,322.9,,,,
353,09/08/19 12:00:00 PM,17.189,1808.3,,,,
354,09/08/19 04:00:00 PM,20.043,1205.6,,,,
355,09/08/19 08:00:00 PM,16.808,0.0,,,,
356,09/09/19 12:00:00 AM,15.473,0.0,,,,
357,09/09/19 04:00:00 AM,14.613,0.0,,,,
358,09/09/19 08:00:00 AM,14.421,409.0,,,,
359,09/09/19 12:00:00 PM,18.806,3272.2,,,,
360,09/09/19 04:00:00 PM,19.853,1463.9,,,,
361,09/09/19 08:00:00 PM,16.808,0.0,,,,
362,09/10/19 12:00:00 AM,13.846,0.0,,,,
363,09/10/19 04:00:00 AM,12.207,0.0,,,,
364,09/10/19 08:00:00 AM,11.722,344.4,,,,
365,09/10/19 12:00:00 PM,20.996,4477.8,,,,
366,09/10/19 04:00:00 PM,23.677,2755.6,,,,
367,09/10/19 08:00:00 PM,20.043,0.0,,,,
368,09/11/19 12:00:00 AM,16.903,0.0,,,,
369,09/11/19 04:00:00 AM,15.855,0.0,,,,
370,09/11/19 08:00:00 AM,16.427,312.2,,,,
371,09/11/19 12:00:00 PM,24.931,4133.4,,,,
372,09/11/19 04:00:00 PM,25.028,570.5,,,,
373,09/11/19 08:00:00 PM,22.046,0.0,,,,
374,09/12/19 12:00:00 AM,20.043,0.0,,,,
375,09/12/19 04:00:00 AM,18.616,0.0,,,,
376,09/12/19 08:00:00 AM,19.662,473.6,,,,
377,09/12/19 12:00:00 PM,24.931,4477.8,,,,
378,09/12/19 04:00:00 PM,25.222,3961.1,,,,
379,09/12/19 08:00:00 PM,21.473,0.0,,,,
380,09/13/19 12:00:00 AM,19.282,0.0,,,,
381,09/13/19 04:00:00 AM,18.996,0.0,,,,
382,09/13/19 08:00:00 AM,17.855,86.1,,,,
383,09/13/19 12:00:00 PM,17.855,1808.3,,,,
384,09/13/19 04:00:00 PM,16.046,484.4,,,,
385,09/13/19 08:00:00 PM,15.282,0.0,,,,
386,09/14/19 12:00:00 AM,15.378,0.0,,,,
387,09/14/19 04:00:00 AM,15.664,0.0,,,,
388,09/14/19 08:00:00 AM,16.046,0.0,,,,
389,09/14/19 12:00:00 PM,18.996,2411.1,,,,
390,09/14/19 04:00:00 PM,20.996,2669.5,,,,
391,09/14/19 08:00:00 PM,17.475,0.0,,,,
392,09/15/19 12:00:00 AM,13.942,0.0,,,,
393,09/15/19 04:00:00 AM,10.846,0.0,,,,
394,09/15/19 08:00:00 AM,9.176,215.3,,,,
395,09/15/19 12:00:00 PM,17.570,3961.1,,,,
396,09/15/19 04:00:00 PM,21.187,2755.6,,,,
397,09/15/19 08:00:00 PM,16.808,0.0,,,,
398,09/16/19 12:00:00 AM,15.282,0.0,,,,
399,09/16/19 04:00:00 AM,12.594,0.0,,,,
400,09/16/19 08:00:00 AM,13.076,441.3,,,,
401,09/16/19 12:00:00 PM,21.378,4133.4,,,,
402,09/16/19 04:00:00 PM,23.773,2755.6,,,,
403,09/16/19 08:00:00 PM,19.567,0.0,,,,
404,09/17/19 12:00:00 AM,16.903,0.0,,,,
405,09/17/19 04:00:00 AM,16.427,0.0,,,,
406,09/17/19 08:00:00 AM,16.713,183.0,,,,
407,09/17/19 12:00:00 PM,17.379,1259.4,,,,
408,09/17/19 04:00:00 PM,20.329,3616.7,,,,
409,09/17/19 08:00:00 PM,16.046,0.0,,,,
410,09/18/19 12:00:00 AM,11.625,0.0,,,,
411,09/18/19 04:00:00 AM,9.275,0.0,,,,
412,09/18/19 08:00:00 AM,7.782,236.8,,,,
413,09/18/19 12:00:00 PM,16.808,4477.8,,,,
414,09/18/19 04:00:00 PM,18.806,2755.6,,,,
415,09/18/19 08:00:00 PM,14.230,0.0,,,,
416,09/19/19 12:00:00 AM,9.571,0.0,,,,
417,09/19/19 04:00:00 AM,8.182,0.0,,,,
418,09/19/19 08:00:00 AM,10.553,107.6,,,,
419,09/19/19 12:00:00 PM,13.750,1980.6,,,,
420,09/19/19 04:00:00 PM,17.665,2927.8,,,,
421,09/19/19 08:00:00 PM,13.173,0.0,,,,
422,09/20/19 12:00:00 AM,9.275,0.0,,,,
423,09/20/19 04:00:00 AM,6.573,0.0,,,,
424,09/20/19 08:00:00 AM,5.552,269.1,,,,
425,09/20/19 12:00:00 PM,18.996,4477.8,,,,
426,09/20/19 04:00:00 PM,21.473,2755.6,,,,
427,09/20/19 08:00:00 PM,16.332,0.0,,,,
428,09/21/19 12:00:00 AM,12.690,0.0,,,,
429,09/21/19 04:00:00 AM,11.236,0.0,,,,
430,09/21/19 08:00:00 AM,11.431,279.9,,,,
431,09/21/19 12:00:00 PM,21.282,1248.6,,,,
432,09/21/19 04:00:00 PM,22.717,1108.7,,,,
433,09/21/19 08:00:00 PM,18.426,0.0,,,,
434,09/22/19 12:00:00 AM,15.664,0.0,,,,
435,09/22/19 04:00:00 AM,14.038,0.0,,,,
436,09/22/19 08:00:00 AM,13.076,226.0,,,,
437,09/22/19 12:00:00 PM,22.812,3961.1,,,,
438,09/22/19 04:00:00 PM,25.125,2755.6,,,,
439,09/22/19 08:00:00 PM,19.853,0.0,,,,
